"Measure","Country","Segment","Product","Year","target"
"Shipments","Algeria","BYOD","Convertible Mobile PC","2010",0.281564863112703
"Shipments","Algeria","BYOD","Convertible Mobile PC","2011",1.02976623251546
"Shipments","Algeria","BYOD","Convertible Mobile PC","2012",3.20676204473135
"Shipments","Algeria","BYOD","Convertible Mobile PC","2013",382.820472460727
"Shipments","Algeria","BYOD","Convertible Mobile PC","2014",1065.9492477277
"Shipments","Algeria","BYOD","Convertible Mobile PC","2015",2492.06466967167
"Shipments","Algeria","BYOD","Convertible Mobile PC","2016",4002.63765243785
"Shipments","Algeria","BYOD","Convertible Mobile PC","2017",5595.61801285109
"Shipments","Algeria","BYOD","Convertible Mobile PC","2018",6419.49318051333
"Shipments","Algeria","BYOD","NPC (Mobile PC)","2010",514.706942975831
"Shipments","Algeria","BYOD","NPC (Mobile PC)","2011",990.666095343007
"Shipments","Algeria","BYOD","NPC (Mobile PC)","2012",1964.14235971002
"Shipments","Algeria","BYOD","NPC (Mobile PC)","2013",2808.54824316685
"Shipments","Algeria","BYOD","NPC (Mobile PC)","2014",4556.30668872805
"Shipments","Algeria","BYOD","NPC (Mobile PC)","2015",5216.19686669342
"Shipments","Algeria","BYOD","NPC (Mobile PC)","2016",5941.05918421123
"Shipments","Algeria","BYOD","NPC (Mobile PC)","2017",5751.57720583021
"Shipments","Algeria","BYOD","NPC (Mobile PC)","2018",6198.97118051879
"Shipments","Algeria","BYOD","Smartphone","2010",21125.8338890851
"Shipments","Algeria","BYOD","Smartphone","2011",56407.0209654689
"Shipments","Algeria","BYOD","Smartphone","2012",100062.119281757
"Shipments","Algeria","BYOD","Smartphone","2013",118423.152675419
"Shipments","Algeria","BYOD","Smartphone","2014",208859.086888996
"Shipments","Algeria","BYOD","Smartphone","2015",313227.262691508
"Shipments","Algeria","BYOD","Smartphone","2016",562417.300480678
"Shipments","Algeria","BYOD","Smartphone","2017",712947.911872771
"Shipments","Algeria","BYOD","Smartphone","2018",1131428.08684739
"Shipments","Algeria","BYOD","Tablet","2010",24.7414352237762
"Shipments","Algeria","BYOD","Tablet","2011",7937.6029595164
"Shipments","Algeria","BYOD","Tablet","2012",24283.2079519129
"Shipments","Algeria","BYOD","Tablet","2013",52289.6640299292
"Shipments","Algeria","BYOD","Tablet","2014",67682.1239636895
"Shipments","Algeria","BYOD","Tablet","2015",77367.7761123016
"Shipments","Algeria","BYOD","Tablet","2016",95402.8314442786
"Shipments","Algeria","BYOD","Tablet","2017",101626.364645336
"Shipments","Algeria","BYOD","Tablet","2018",118834.608027828
"Shipments","Algeria","Consumer (excl BYOD)","Basic/Feature Phone","2010",4063912.66261483
"Shipments","Algeria","Consumer (excl BYOD)","Basic/Feature Phone","2011",7592718.52443186
"Shipments","Algeria","Consumer (excl BYOD)","Basic/Feature Phone","2012",6587525.67255603
"Shipments","Algeria","Consumer (excl BYOD)","Basic/Feature Phone","2013",4843226.01065716
"Shipments","Algeria","Consumer (excl BYOD)","Basic/Feature Phone","2014",4635178.62166957
"Shipments","Algeria","Consumer (excl BYOD)","Basic/Feature Phone","2015",3498350.15049944
"Shipments","Algeria","Consumer (excl BYOD)","Basic/Feature Phone","2016",3069416.83131242
"Shipments","Algeria","Consumer (excl BYOD)","Basic/Feature Phone","2017",1839940.45773895
"Shipments","Algeria","Consumer (excl BYOD)","Basic/Feature Phone","2018",1708653.66539611
"Shipments","Algeria","Consumer (excl BYOD)","Convertible Mobile PC","2010",19.6280726880703
"Shipments","Algeria","Consumer (excl BYOD)","Convertible Mobile PC","2011",151.182937603876
"Shipments","Algeria","Consumer (excl BYOD)","Convertible Mobile PC","2012",391.197134166855
"Shipments","Algeria","Consumer (excl BYOD)","Convertible Mobile PC","2013",8322.40659311151
"Shipments","Algeria","Consumer (excl BYOD)","Convertible Mobile PC","2014",11897.7727411866
"Shipments","Algeria","Consumer (excl BYOD)","Convertible Mobile PC","2015",30709.8521394136
"Shipments","Algeria","Consumer (excl BYOD)","Convertible Mobile PC","2016",15604.3695342568
"Shipments","Algeria","Consumer (excl BYOD)","Convertible Mobile PC","2017",33173.8837389498
"Shipments","Algeria","Consumer (excl BYOD)","Convertible Mobile PC","2018",51625.3717112988
"Shipments","Algeria","Consumer (excl BYOD)","NPC (Mobile PC)","2010",83869.7411590979
"Shipments","Algeria","Consumer (excl BYOD)","NPC (Mobile PC)","2011",86478.5747394818
"Shipments","Algeria","Consumer (excl BYOD)","NPC (Mobile PC)","2012",106801.795775574
"Shipments","Algeria","Consumer (excl BYOD)","NPC (Mobile PC)","2013",190600.957589002
"Shipments","Algeria","Consumer (excl BYOD)","NPC (Mobile PC)","2014",157039.423473771
"Shipments","Algeria","Consumer (excl BYOD)","NPC (Mobile PC)","2015",252857.081534169
"Shipments","Algeria","Consumer (excl BYOD)","NPC (Mobile PC)","2016",237577.863197622
"Shipments","Algeria","Consumer (excl BYOD)","NPC (Mobile PC)","2017",274363.965864128
"Shipments","Algeria","Consumer (excl BYOD)","NPC (Mobile PC)","2018",171010.783262229
"Shipments","Algeria","Consumer (excl BYOD)","Smartphone","2010",199601.189237107
"Shipments","Algeria","Consumer (excl BYOD)","Smartphone","2011",247437.067523945
"Shipments","Algeria","Consumer (excl BYOD)","Smartphone","2012",729852.125559198
"Shipments","Algeria","Consumer (excl BYOD)","Smartphone","2013",754113.643875759
"Shipments","Algeria","Consumer (excl BYOD)","Smartphone","2014",1438287.45203353
"Shipments","Algeria","Consumer (excl BYOD)","Smartphone","2015",2429520.94172244
"Shipments","Algeria","Consumer (excl BYOD)","Smartphone","2016",3923331.35084728
"Shipments","Algeria","Consumer (excl BYOD)","Smartphone","2017",3663218.94105366
"Shipments","Algeria","Consumer (excl BYOD)","Smartphone","2018",6715460.66782163
"Shipments","Algeria","Consumer (excl BYOD)","Tablet","2010",141.392956624565
"Shipments","Algeria","Consumer (excl BYOD)","Tablet","2011",50298.3170768507
"Shipments","Algeria","Consumer (excl BYOD)","Tablet","2012",279673.273002223
"Shipments","Algeria","Consumer (excl BYOD)","Tablet","2013",281059.454424487
"Shipments","Algeria","Consumer (excl BYOD)","Tablet","2014",390272.982842486
"Shipments","Algeria","Consumer (excl BYOD)","Tablet","2015",354428.790083917
"Shipments","Algeria","Consumer (excl BYOD)","Tablet","2016",676139.793292132
"Shipments","Algeria","Consumer (excl BYOD)","Tablet","2017",401618.946165926
"Shipments","Algeria","Consumer (excl BYOD)","Tablet","2018",615573.880118709
"Shipments","Algeria","Corporate Liable","Basic/Feature Phone","2010",662864.006766187
"Shipments","Algeria","Corporate Liable","Basic/Feature Phone","2011",801832.771479896
